stage3,songname,SP,PT,Hid,SP,PT,Hid,SP,PT,Hid,SP,PT,Hid
166,mister,2,1,0,2,2,1,2,3,1,,,
165,jumping,2,1,0,2,2,1,2,3,1,,,
66,cozyquilt,2,1,0,2,2,0,,,,,,
126,funkypeople,2,1,0,2,2,1,2,3,1,,,
129,hanzup,2,1,0,2,2,1,2,3,1,,,
64,heartofwitch,2,1,0,2,2,0,2,3,0,,,
26,hereinthe,2,1,0,2,2,0,,,,,,
31,jupiter,2,1,0,2,2,0,2,3,0,,,
34,landscape,2,1,0,2,2,0,2,3,0,,,
99,lovely,1,1,0,2,2,0,,,,,,
36,lover,2,1,0,2,2,0,2,3,0,,,
37,melody,1,1,0,1,2,0,2,3,0,,,
38,miles,1,1,0,2,2,0,2,3,0,,,
139,newday,1,1,0,2,2,1,2,3,1,,,
106,readynow,1,1,0,2,2,0,2,3,0,,,
43,remember,1,1,0,2,2,0,2,3,0,,,
97,rutin,2,1,0,2,2,0,,,,,,
47,stop,2,1,0,2,2,0,2,3,0,,,
49,sweetshining,2,1,0,1,2,0,2,3,0,,,
52,voyage,2,1,0,2,2,0,,,,,,
102,inmydream,2,1,0,,,,,,,,,
162,ad2222,2,1,0,2,2,1,2,3,1,,,
8,blythe,2,1,0,2,2,0,,,,,,
14,creator,2,1,0,2,2,0,,,,,,
65,dualstrikers,2,1,0,2,2,0,,,,,,
32,keystothe,2,1,0,2,2,0,2,3,0,,,
123,leaveme,2,1,0,2,2,1,2,3,1,,,
60,@piano,2,1,0,2,2,0,2,3,0,,,
138,rightback,2,1,0,2,2,1,2,3,1,,,
45,sin,2,1,0,2,2,0,2,3,0,,,
46,sonof,2,1,0,2,2,0,2,3,0,,,
82,supersonicrmx,2,1,0,2,2,0,2,3,0,,,
53,whiteblue,2,1,0,2,2,0,2,3,0,,,
161,bamboo,2,1,0,2,2,1,2,3,1,,,
71,beeutiful,2,1,0,2,2,0,,,,,,
137,feelmabeat,2,1,0,2,2,1,2,3,1,,,
107,djmax,1,1,1,2,2,1,,,,,,
92,thenightstage,2,1,1,2,2,1,,,,,,
2,@gobaek2,2,1,1,2,2,1,2,3,1,,,
85,airwave,2,1,1,2,2,1,,,,,,
83,burnitdown,2,1,1,2,2,1,2,3,1,,,
114,desperadormx1,2,1,1,2,2,1,2,3,1,,,
27,hexad,2,1,1,2,2,1,2,3,1,,,
111,luvflowrmx1,2,1,1,2,2,1,2,3,1,,,
113,masairmx1,2,1,1,2,2,1,2,3,1,,,
68,outlawreborn,2,1,1,2,2,1,2,3,1,,,
62,rayof,2,1,1,2,2,1,2,3,1,,,
115,zetrmx1,2,1,1,2,2,1,2,3,1,,,
57,@baramegelive,2,1,1,2,2,1,,,,,,
104,beatudown,2,1,1,2,2,1,,,,,,
93,beyondthe,1,1,1,1,2,1,2,3,1,,,
105,cypher,2,1,1,2,2,1,2,3,1,,,
95,darkenvy,2,1,1,2,2,1,,,,,,
89,dreamofwinds,2,1,1,2,2,1,2,3,1,,,
