stage2,songname,SP,PT,Hid,SP,PT,Hid,SP,PT,Hid,SP,PT,Hid
176,lupin,1,1,0,2,2,1,2,3,1,,,
153,ohlala,2,1,0,2,2,1,2,3,1,,,
4,@ner,1,1,0,1,2,0,2,3,0,,,
136,seolaim2,1,1,0,1,2,1,2,3,1,,,
16,divineservice,1,1,0,1,2,0,2,3,0,,,
86,eternalfantasy,1,1,0,2,2,0,2,3,0,,,
24,freedom,1,1,0,2,2,0,2,3,0,,,
29,iwantyou,1,1,0,2,2,0,2,3,0,,,
87,loveis,1,1,0,1,2,0,1,3,0,,,
90,novarmx,2,1,0,2,2,0,,,,,,
42,playthefuture,1,1,0,1,2,0,1,3,0,,,
77,sayitfrom,2,1,0,2,2,0,,,,,,
48,supersonic,1,1,0,1,2,0,2,3,0,,,
51,thelastdance,2,1,0,2,2,0,2,3,0,,,
79,trip,2,1,0,2,2,0,,,,,,
55,yourown,1,1,0,1,2,0,2,3,0,,,
5,ai,2,1,0,2,2,0,2,3,0,,,
9,cherokee,2,1,0,2,2,0,2,3,0,,,
11,coastaltempo,1,1,0,1,2,0,2,3,0,,,
12,color,2,1,0,2,2,0,2,3,0,,,
101,desperado,2,1,0,,,,,,,,,
23,flea,2,1,0,2,2,0,2,3,0,,,
135,giveme5,2,1,0,2,2,1,2,3,1,,,
41,pdm,1,1,0,2,2,0,2,3,0,,,
98,secretworld,2,1,0,2,2,0,,,,,,
84,theguilty,2,1,0,2,2,0,2,3,0,,,
116,rainmaker,2,1,0,2,2,1,2,3,1,,,
54,y,2,1,0,2,2,0,2,3,0,,,
13,coloursof,2,1,0,2,2,0,2,3,0,,,
25,fury,2,1,0,2,2,0,2,3,0,,,
141,kungfu,2,1,0,2,2,1,2,3,1,,,
67,lacamp,1,1,0,2,2,0,,,,,,
81,monoxide,2,1,0,2,2,0,2,3,0,,,
160,rainbow,1,1,0,2,2,1,2,3,1,,,
144,signal,2,1,0,2,2,1,2,3,1,,,
145,blackswan,2,1,0,2,2,1,2,3,1,,,
107,djmax,1,1,1,2,2,1,,,,,,
92,thenightstage,2,1,1,2,2,1,,,,,,
2,@gobaek2,2,1,1,2,2,1,2,3,1,,,
85,airwave,2,1,1,2,2,1,,,,,,
83,burnitdown,2,1,1,2,2,1,2,3,1,,,
114,desperadormx1,2,1,1,2,2,1,2,3,1,,,
27,hexad,2,1,1,2,2,1,2,3,1,,,
111,luvflowrmx1,2,1,1,2,2,1,2,3,1,,,
113,masairmx1,2,1,1,2,2,1,2,3,1,,,
68,outlawreborn,2,1,1,2,2,1,2,3,1,,,
62,rayof,2,1,1,2,2,1,2,3,1,,,
115,zetrmx1,2,1,1,2,2,1,2,3,1,,,
57,@baramegelive,2,1,1,2,2,1,,,,,,
104,beatudown,2,1,1,2,2,1,,,,,,
93,beyondthe,1,1,1,1,2,1,2,3,1,,,
105,cypher,2,1,1,2,2,1,2,3,1,,,
95,darkenvy,2,1,1,2,2,1,,,,,,
89,dreamofwinds,2,1,1,2,2,1,2,3,1,,,
