stage2,songname,SP,PT,Hid,SP,PT,Hid,SP,PT,Hid,SP,PT,Hid
176,lupin,1,1,0,,,,,,,,,
4,@ner,1,1,0,,,,,,,,,
24,freedom,1,1,0,,,,,,,,,
87,loveis,1,1,0,,,,,,,,,
153,ohlala,2,1,0,,,,,,,,,
79,trip,1,1,0,,,,,,,,,
12,color,2,1,0,,,,,,,,,
86,eternalfantasy,1,1,0,,,,,,,,,
29,iwantyou,1,1,0,,,,,,,,,
42,playthefuture,1,1,0,,,,,,,,,
106,readynow,1,1,0,,,,,,,,,
48,supersonic,1,1,0,,,,,,,,,
84,theguilty,1,1,0,,,,,,,,,
132,watchyour,1,1,0,,,,,,,,,
54,y,1,1,0,,,,,,,,,
5,ai,2,1,0,,,,,,,,,
9,cherokee,2,1,0,,,,,,,,,
11,coastaltempo,1,1,0,,,,,,,,,
16,divineservice,1,1,0,,,,,,,,,
23,flea,2,1,0,,,,,,,,,
81,monoxide,2,1,0,,,,,,,,,
90,novarmx,2,1,0,,,,,,,,,
41,pdm,2,1,0,,,,,,,,,
77,sayitfrom,2,1,0,,,,,,,,,
98,secretworld,2,1,0,,,,,,,,,
116,rainmaker,2,1,0,,,,,,,,,
13,coloursof,2,1,0,,,,,,,,,
101,desperado,2,1,0,,,,,,,,,
18,endofthemoon,2,1,0,,,,,,,,,
141,kungfu,2,1,0,,,,,,,,,
67,lacamp,1,1,0,,,,,,,,,
25,fury,2,1,0,,,,,,,,,
135,giveme5,1,1,0,,,,,,,,,
160,rainbow,1,1,0,,,,,,,,,
138,rightback,1,1,0,,,,,,,,,
145,blackswan,2,1,0,,,,,,,,,
107,djmax,1,1,1,,,,,,,,,
92,thenightstage,1,1,1,,,,,,,,,
57,@baramegelive,1,1,1,,,,,,,,,
111,luvflowrmx1,1,1,1,,,,,,,,,
93,beyondthe,1,1,1,,,,,,,,,
83,burnitdown,2,1,1,,,,,,,,,
95,darkenvy,2,1,1,,,,,,,,,
113,masairmx1,2,1,1,,,,,,,,,
68,outlawreborn,2,1,1,,,,,,,,,
115,zetrmx1,2,1,1,,,,,,,,,
2,@gobaek2,2,1,1,,,,,,,,,
85,airwave,2,1,1,,,,,,,,,
104,beatudown,2,1,1,,,,,,,,,
72,d2,2,1,1,,,,,,,,,
114,desperadormx1,2,1,1,,,,,,,,,
89,dreamofwinds,2,1,1,,,,,,,,,
112,enemyrmx1,2,1,1,,,,,,,,,
27,hexad,2,1,1,,,,,,,,,
